

=== Predictions on test data ===

 inst#     actual  predicted error prediction
     1        2:1        2:1       0.733 
     2        2:1        1:0   +   0.533 
     3        2:1        2:1       0.667 
     4        2:1        2:1       0.8 
     5        2:1        1:0   +   0.6 
     6        2:1        2:1       0.867 
     7        2:1        1:0   +   0.533 
     8        2:1        1:0   +   0.8 
     9        2:1        2:1       0.6 
    10        2:1        1:0   +   0.867 
    11        2:1        1:0   +   0.667 
    12        2:1        1:0   +   0.533 
    13        2:1        2:1       1 
    14        2:1        2:1       0.667 
    15        2:1        2:1       1 
    16        2:1        1:0   +   0.733 
    17        2:1        2:1       0.933 
    18        2:1        2:1       1 
    19        2:1        2:1       1 
    20        2:1        2:1       1 
    21        2:1        2:1       0.533 
    22        2:1        2:1       0.933 
    23        2:1        2:1       0.867 
    24        2:1        2:1       1 
    25        2:1        1:0   +   0.733 
    26        2:1        1:0   +   0.6 
    27        2:1        2:1       0.6 
    28        2:1        2:1       0.8 
    29        2:1        2:1       0.533 
    30        2:1        1:0   +   0.8 
    31        2:1        1:0   +   0.533 
    32        2:1        2:1       0.733 
    33        2:1        1:0   +   0.733 
    34        2:1        1:0   +   0.533 
    35        2:1        2:1       0.8 
    36        2:1        2:1       0.533 
    37        2:1        2:1       1 
    38        2:1        2:1       0.933 
    39        2:1        1:0   +   0.667 
    40        2:1        2:1       0.667 
    41        2:1        2:1       0.733 
    42        2:1        2:1       0.733 
    43        2:1        1:0   +   0.533 
    44        2:1        2:1       0.8 
    45        2:1        1:0   +   0.8 
    46        2:1        1:0   +   0.8 
    47        2:1        2:1       0.733 
    48        2:1        1:0   +   0.8 
    49        2:1        2:1       0.867 
    50        2:1        2:1       0.8 
    51        2:1        1:0   +   0.533 
    52        2:1        2:1       1 
    53        2:1        2:1       0.533 
    54        2:1        1:0   +   0.533 
    55        2:1        1:0   +   0.867 
    56        2:1        2:1       0.533 
    57        2:1        2:1       0.6 
    58        2:1        2:1       1 
    59        2:1        1:0   +   0.8 
    60        2:1        2:1       1 
    61        2:1        2:1       0.8 
    62        2:1        2:1       1 
    63        2:1        2:1       0.6 
    64        2:1        2:1       1 
    65        2:1        1:0   +   0.533 
    66        2:1        2:1       1 
    67        2:1        2:1       0.533 
    68        2:1        2:1       0.733 
    69        2:1        1:0   +   0.6 
    70        2:1        2:1       0.867 
    71        2:1        1:0   +   0.8 
    72        2:1        2:1       0.667 
    73        2:1        2:1       0.667 
    74        2:1        2:1       0.533 
    75        2:1        2:1       0.867 
    76        2:1        1:0   +   0.8 
    77        2:1        2:1       0.933 
    78        2:1        2:1       0.733 
    79        2:1        2:1       0.533 
    80        2:1        1:0   +   0.533 
    81        2:1        1:0   +   0.6 
    82        2:1        2:1       0.8 
    83        2:1        2:1       0.733 
    84        2:1        1:0   +   0.733 
    85        2:1        2:1       0.533 
    86        2:1        1:0   +   0.6 
    87        2:1        2:1       0.867 
    88        2:1        2:1       0.867 
    89        2:1        1:0   +   0.6 
    90        2:1        2:1       0.8 
    91        2:1        2:1       0.867 
    92        2:1        2:1       0.6 
    93        2:1        2:1       0.867 
    94        2:1        1:0   +   0.667 
    95        2:1        2:1       0.733 
    96        2:1        1:0   +   0.533 
    97        2:1        2:1       0.733 
    98        2:1        2:1       1 
    99        2:1        1:0   +   0.867 
   100        2:1        2:1       0.933 
   101        2:1        2:1       0.733 
   102        2:1        1:0   +   0.533 
   103        2:1        2:1       0.667 
   104        2:1        2:1       0.8 
   105        2:1        2:1       1 
   106        2:1        1:0   +   0.733 
   107        2:1        1:0   +   0.667 
   108        2:1        2:1       1 
   109        2:1        1:0   +   0.533 
   110        2:1        2:1       0.933 
   111        2:1        2:1       0.867 
   112        2:1        1:0   +   0.667 
   113        2:1        1:0   +   0.533 
   114        2:1        2:1       1 
   115        2:1        2:1       0.667 
   116        2:1        1:0   +   0.8 
   117        2:1        1:0   +   0.733 
   118        2:1        1:0   +   1 
   119        2:1        2:1       0.8 
   120        2:1        2:1       0.667 
   121        2:1        2:1       0.667 
   122        2:1        1:0   +   0.667 
   123        2:1        2:1       0.533 
   124        2:1        2:1       0.667 
   125        2:1        2:1       0.667 
   126        2:1        2:1       0.8 
   127        2:1        2:1       0.8 
   128        2:1        2:1       1 
   129        2:1        2:1       0.533 
   130        2:1        2:1       0.867 
   131        2:1        2:1       0.667 
   132        2:1        2:1       0.867 
   133        2:1        2:1       0.533 
   134        2:1        1:0   +   0.8 
   135        2:1        2:1       0.8 
   136        2:1        1:0   +   1 
   137        2:1        2:1       0.8 
   138        2:1        2:1       0.533 
   139        2:1        2:1       0.6 
   140        2:1        2:1       0.8 
   141        2:1        2:1       0.933 
   142        2:1        2:1       1 
   143        2:1        2:1       0.867 
   144        2:1        2:1       0.933 
   145        2:1        2:1       0.933 
   146        2:1        2:1       0.933 
   147        2:1        1:0   +   0.667 
   148        2:1        2:1       1 
   149        2:1        2:1       1 
   150        2:1        2:1       0.8 
   151        2:1        2:1       0.667 
   152        2:1        1:0   +   0.733 
   153        2:1        1:0   +   0.667 
   154        2:1        1:0   +   0.533 
   155        2:1        2:1       0.867 
   156        2:1        2:1       1 
   157        2:1        2:1       0.8 
   158        2:1        2:1       1 
   159        2:1        2:1       0.6 
   160        2:1        2:1       0.867 
   161        2:1        2:1       0.667 
   162        2:1        2:1       1 
   163        2:1        2:1       1 
   164        2:1        2:1       0.8 
   165        2:1        1:0   +   0.667 
   166        2:1        2:1       0.6 
   167        2:1        2:1       0.8 
   168        2:1        2:1       0.733 
   169        2:1        2:1       0.8 
   170        2:1        2:1       0.667 
   171        2:1        2:1       1 
   172        2:1        2:1       0.667 
   173        2:1        2:1       0.6 
   174        2:1        1:0   +   0.6 
   175        2:1        2:1       0.8 
   176        2:1        1:0   +   0.667 
   177        2:1        2:1       0.733 
   178        2:1        1:0   +   0.933 
   179        2:1        1:0   +   0.8 
   180        2:1        2:1       0.733 
   181        2:1        1:0   +   0.533 
   182        2:1        1:0   +   0.6 
   183        2:1        2:1       0.8 
   184        2:1        2:1       0.867 
   185        2:1        2:1       0.933 
   186        2:1        1:0   +   0.6 
   187        2:1        2:1       0.8 
   188        2:1        2:1       0.6 
   189        2:1        2:1       0.733 
   190        2:1        2:1       1 
   191        2:1        1:0   +   0.733 
   192        2:1        1:0   +   0.667 
   193        2:1        2:1       1 
   194        2:1        2:1       0.867 
   195        2:1        1:0   +   0.667 
   196        2:1        2:1       0.667 
   197        2:1        1:0   +   1 
   198        2:1        2:1       1 
   199        2:1        2:1       0.867 
   200        2:1        1:0   +   0.667 
   201        2:1        1:0   +   0.533 
   202        2:1        2:1       0.733 
   203        2:1        2:1       0.667 
   204        2:1        2:1       0.933 
   205        2:1        2:1       0.667 
   206        2:1        2:1       0.8 
   207        2:1        1:0   +   0.733 
   208        2:1        2:1       0.8 
   209        2:1        2:1       0.533 
   210        2:1        2:1       0.867 
   211        2:1        1:0   +   0.733 
   212        2:1        2:1       0.667 
   213        2:1        1:0   +   0.667 
   214        2:1        1:0   +   0.533 
   215        2:1        2:1       0.533 
   216        2:1        1:0   +   0.533 
   217        2:1        2:1       0.533 
   218        2:1        2:1       0.8 
   219        2:1        2:1       0.733 
   220        2:1        2:1       0.6 
   221        2:1        1:0   +   0.6 
   222        2:1        1:0   +   0.8 
   223        2:1        2:1       0.867 
   224        2:1        1:0   +   0.6 
   225        2:1        2:1       0.933 
   226        2:1        2:1       0.867 
   227        2:1        1:0   +   0.8 
   228        2:1        1:0   +   0.667 
   229        2:1        2:1       0.733 
   230        2:1        2:1       0.6 
   231        2:1        2:1       1 
   232        2:1        2:1       0.6 
   233        2:1        1:0   +   0.733 
   234        2:1        2:1       0.933 
   235        2:1        2:1       0.533 
   236        2:1        2:1       0.867 
   237        2:1        2:1       0.733 
   238        2:1        2:1       0.8 
   239        2:1        1:0   +   0.8 
   240        2:1        1:0   +   0.667 
   241        2:1        2:1       0.933 
   242        2:1        1:0   +   0.6 
   243        2:1        1:0   +   0.867 
   244        2:1        2:1       0.933 
   245        2:1        1:0   +   0.667 
   246        2:1        2:1       1 
   247        2:1        2:1       1 
   248        2:1        1:0   +   0.733 
   249        2:1        2:1       1 
   250        2:1        1:0   +   0.6 
   251        2:1        2:1       0.8 
   252        2:1        2:1       0.867 
   253        2:1        1:0   +   0.6 
   254        2:1        2:1       0.533 
   255        2:1        1:0   +   0.733 
   256        2:1        2:1       0.667 
   257        2:1        2:1       0.867 
   258        2:1        2:1       0.8 
   259        2:1        2:1       0.8 
   260        2:1        2:1       1 
   261        2:1        1:0   +   0.533 
   262        2:1        2:1       0.667 
   263        2:1        2:1       0.6 
   264        2:1        2:1       0.933 
   265        2:1        1:0   +   0.533 
   266        2:1        2:1       0.667 
   267        2:1        2:1       0.733 
   268        2:1        2:1       0.933 
   269        2:1        2:1       0.667 
   270        2:1        2:1       1 
   271        2:1        2:1       1 
   272        2:1        1:0   +   0.533 
   273        2:1        2:1       0.533 
   274        2:1        1:0   +   0.533 
   275        2:1        2:1       0.6 
   276        2:1        2:1       0.667 
   277        2:1        2:1       0.533 
   278        2:1        2:1       0.933 
   279        2:1        1:0   +   0.6 
   280        2:1        2:1       0.933 
   281        2:1        2:1       0.867 
   282        2:1        2:1       0.667 
   283        2:1        2:1       0.8 
   284        2:1        2:1       0.6 
   285        2:1        2:1       0.867 
   286        2:1        1:0   +   0.8 
   287        2:1        2:1       1 
   288        2:1        1:0   +   0.733 
   289        2:1        2:1       0.533 
   290        2:1        1:0   +   0.733 
   291        2:1        2:1       0.667 
   292        2:1        1:0   +   0.6 
   293        2:1        2:1       0.933 
   294        2:1        2:1       0.6 
   295        2:1        1:0   +   0.6 
   296        2:1        2:1       0.667 
   297        2:1        1:0   +   0.867 
   298        2:1        1:0   +   0.733 
   299        2:1        2:1       0.733 
   300        2:1        2:1       0.6 
   301        2:1        2:1       1 
   302        2:1        2:1       1 
   303        2:1        1:0   +   1 
   304        2:1        2:1       0.933 
   305        2:1        2:1       0.8 
   306        2:1        2:1       0.533 
   307        2:1        2:1       0.6 
   308        2:1        1:0   +   0.533 
   309        2:1        1:0   +   0.667 
   310        2:1        2:1       0.867 
   311        2:1        1:0   +   0.667 
   312        2:1        1:0   +   0.533 
   313        2:1        1:0   +   0.6 
   314        2:1        2:1       1 
   315        2:1        2:1       0.6 
   316        2:1        2:1       0.933 
   317        2:1        2:1       0.533 
   318        2:1        2:1       1 
   319        2:1        2:1       1 
   320        2:1        1:0   +   0.867 
   321        2:1        2:1       0.933 
   322        2:1        2:1       0.733 
   323        2:1        2:1       1 
   324        2:1        1:0   +   0.533 
   325        2:1        1:0   +   0.8 
   326        2:1        2:1       1 
   327        2:1        2:1       0.867 
   328        2:1        1:0   +   0.733 
   329        2:1        2:1       0.6 
   330        2:1        1:0   +   1 
   331        2:1        2:1       0.733 
   332        2:1        2:1       0.8 
   333        2:1        1:0   +   0.6 
   334        2:1        2:1       0.733 
   335        2:1        2:1       0.867 
   336        2:1        2:1       0.733 
   337        2:1        2:1       0.933 
   338        2:1        2:1       0.867 
   339        2:1        2:1       0.6 
   340        2:1        2:1       0.733 
   341        2:1        2:1       0.867 
   342        2:1        2:1       0.6 
   343        2:1        2:1       1 
   344        2:1        2:1       1 
   345        2:1        2:1       0.667 
   346        2:1        2:1       0.733 
   347        2:1        2:1       0.533 
   348        2:1        2:1       0.933 
   349        2:1        2:1       0.733 
   350        2:1        2:1       0.667 
   351        2:1        1:0   +   0.667 
   352        2:1        2:1       0.8 
   353        2:1        2:1       0.533 
   354        2:1        2:1       1 
   355        2:1        2:1       0.6 
   356        2:1        1:0   +   0.667 
   357        2:1        1:0   +   0.867 
   358        2:1        2:1       0.733 
   359        2:1        2:1       1 
   360        2:1        2:1       0.533 
   361        2:1        1:0   +   0.533 
   362        2:1        2:1       0.6 
   363        2:1        2:1       0.733 
   364        2:1        2:1       0.667 
   365        2:1        1:0   +   0.533 
   366        2:1        2:1       0.667 
   367        2:1        1:0   +   0.733 
   368        2:1        1:0   +   0.533 
   369        2:1        1:0   +   0.667 
   370        2:1        2:1       0.6 
   371        2:1        2:1       1 
   372        2:1        2:1       0.533 
   373        2:1        2:1       0.8 
   374        2:1        2:1       0.6 
   375        2:1        2:1       0.6 
   376        2:1        1:0   +   0.6 
   377        2:1        2:1       0.533 
   378        2:1        2:1       0.533 
   379        2:1        2:1       0.533 
   380        2:1        1:0   +   0.667 
   381        2:1        1:0   +   0.533 
   382        2:1        2:1       0.933 
   383        2:1        1:0   +   0.733 
   384        2:1        2:1       0.667 
   385        2:1        1:0   +   0.8 
   386        2:1        2:1       0.667 
   387        2:1        2:1       0.933 
   388        2:1        2:1       0.533 
   389        2:1        2:1       0.867 
   390        2:1        2:1       0.867 
   391        2:1        2:1       0.933 
   392        2:1        1:0   +   0.533 
   393        2:1        1:0   +   0.667 
   394        2:1        2:1       0.867 
   395        2:1        2:1       0.733 
   396        2:1        2:1       0.733 
   397        2:1        2:1       1 
   398        2:1        2:1       0.933 
   399        2:1        1:0   +   0.6 
   400        2:1        2:1       0.8 
   401        2:1        2:1       0.933 
   402        2:1        2:1       0.6 
   403        2:1        2:1       0.667 
   404        2:1        2:1       1 
   405        2:1        2:1       0.667 
   406        2:1        2:1       0.6 
   407        2:1        2:1       0.8 
   408        2:1        2:1       0.8 
   409        2:1        1:0   +   0.533 
   410        2:1        2:1       0.6 
   411        2:1        1:0   +   0.733 
   412        2:1        2:1       0.733 
   413        2:1        2:1       0.8 
