@relation test_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted answer' {0,1}
@attribute answer {0,1}
@attribute 0.0 numeric
@attribute 0.1 numeric
@attribute 0.2 numeric
@attribute 0.3 numeric
@attribute 0.4 numeric
@attribute 0.5 numeric
@attribute 0.6 numeric
@attribute 0.7 numeric
@attribute 0.8 numeric
@attribute e0.0 numeric
@attribute e0.1 numeric
@attribute e0.2 numeric
@attribute e0.3 numeric
@attribute e0.4 numeric
@attribute e0.5 numeric
@attribute e0.6 numeric
@attribute e0.7 numeric
@attribute e0.8 numeric
@attribute e0.9 numeric
@attribute 1.0 numeric
@attribute 1.1 numeric
@attribute 1.2 numeric
@attribute 1.3 numeric
@attribute 1.4 numeric
@attribute 1.5 numeric
@attribute 1.6 numeric
@attribute 1.7 numeric
@attribute 1.8 numeric
@attribute e1.0 numeric
@attribute e1.1 numeric
@attribute e1.2 numeric
@attribute e1.3 numeric
@attribute e1.4 numeric
@attribute e1.5 numeric
@attribute e1.6 numeric
@attribute e1.7 numeric
@attribute e1.8 numeric
@attribute e1.9 numeric
@attribute 2.0 numeric
@attribute 2.1 numeric
@attribute 2.2 numeric
@attribute 2.3 numeric
@attribute 2.4 numeric
@attribute 2.5 numeric
@attribute 2.6 numeric
@attribute 2.7 numeric
@attribute 2.8 numeric
@attribute e2.0 numeric
@attribute e2.1 numeric
@attribute e2.2 numeric
@attribute e2.3 numeric
@attribute e2.4 numeric
@attribute e2.5 numeric
@attribute e2.6 numeric
@attribute e2.7 numeric
@attribute e2.8 numeric
@attribute e2.9 numeric
@attribute 3.0 numeric
@attribute 3.1 numeric
@attribute 3.2 numeric
@attribute 3.3 numeric
@attribute 3.4 numeric
@attribute 3.5 numeric
@attribute 3.6 numeric
@attribute 3.7 numeric
@attribute 3.8 numeric
@attribute e3.0 numeric
@attribute e3.1 numeric
@attribute e3.2 numeric
@attribute e3.3 numeric
@attribute e3.4 numeric
@attribute e3.5 numeric
@attribute e3.6 numeric
@attribute e3.7 numeric
@attribute e3.8 numeric
@attribute e3.9 numeric
@attribute 4.0 numeric
@attribute 4.1 numeric
@attribute 4.2 numeric
@attribute 4.3 numeric
@attribute 4.4 numeric
@attribute 4.5 numeric
@attribute 4.6 numeric
@attribute 4.7 numeric
@attribute 4.8 numeric
@attribute 5.0 numeric
@attribute 5.1 numeric
@attribute 5.2 numeric
@attribute 5.3 numeric
@attribute 5.4 numeric
@attribute 5.5 numeric
@attribute 5.6 numeric
@attribute 5.7 numeric
@attribute 5.8 numeric
@attribute 6.0 numeric
@attribute 6.1 numeric
@attribute 6.2 numeric
@attribute 6.3 numeric
@attribute 6.4 numeric
@attribute 6.5 numeric
@attribute 6.6 numeric
@attribute 6.7 numeric
@attribute 6.8 numeric
@attribute 7.0 numeric
@attribute 7.1 numeric
@attribute 7.2 numeric
@attribute 7.3 numeric
@attribute 7.4 numeric
@attribute 7.5 numeric
@attribute 7.6 numeric
@attribute 7.7 numeric
@attribute 7.8 numeric
@attribute 8.0 numeric
@attribute 8.1 numeric
@attribute 8.2 numeric
@attribute 8.3 numeric
@attribute 8.4 numeric
@attribute 8.5 numeric
@attribute 8.6 numeric
@attribute 8.7 numeric
@attribute 8.8 numeric
@attribute 9.0 numeric
@attribute 9.1 numeric
@attribute 9.2 numeric
@attribute 9.3 numeric
@attribute 9.4 numeric
@attribute 9.5 numeric
@attribute 9.6 numeric
@attribute 9.7 numeric
@attribute 9.8 numeric

@data
1,1,1,16,0.572075,23,6.557439,0.332964,39,10,0.555556,0.384615,16,0.538926,26,6.78233,0.182818,32,5,0.344828,0.208333,10.882154,11,0.613086,11,4.795832,0.665927,35,14,0.777778,0.636364,13,0.555976,14,5.09902,0.506024,30,11,0.709677,0.55,9.427587,10,0.801296,9,4.582576,0.937777,35,7,0.777778,0.636364,10,0.680135,12,6,0.857907,30,6,0.75,0.6,8.361005,11,0.578295,11,4.795832,0.76142,35,14,0.848485,0.736842,13,0.611111,12,4.242641,0.678401,30,12,0.8,0.666667,9.249852,7,0.615054,5,2.236068,0.839146,17,7,0.736842,0.583333,7,0.627658,5,2.236068,0.839146,17,7,0.736842,0.583333,7,0.622475,5,2.236068,0.839146,17,7,0.736842,0.583333,7,0.615054,5,2.236068,0.839146,17,7,0.736842,0.583333,0,0.511111,1,1,0.707107,0,1,0.666667,0.5,7,0.622475,5,2.236068,0.839146,17,7,0.736842,0.583333
-1,0,1,19,0.59366,31,5.567764,0.563884,43,13,0.490566,0.325,19,0.592543,30,5.656854,0.529412,40,12,0.48,0.315789,27.14365,19,0.608908,31,5.567764,0.563884,43,13,0.490566,0.325,19,0.648694,30,5.656854,0.529412,40,12,0.48,0.315789,27.157687,14,0.73977,9,3.605551,0.963486,31,7,0.933333,0.875,15,0.569264,12,4.472136,0.940144,28,6,0.857143,0.75,17.147172,19,0.664335,31,5.91608,0.545501,43,13,0.509804,0.342105,19,0.625125,30,6,0.500773,40,12,0.489796,0.324324,27.235005,5,0.585617,9,3,0.640513,11,5,0.526316,0.357143,5,0.585617,9,3,0.640513,11,5,0.526316,0.357143,5,0.582008,9,3,0.640513,11,5,0.526316,0.357143,5,0.585617,9,3,0.640513,11,5,0.526316,0.357143,3,0.537232,4,2,0.516398,4,2,0.5,0.333333,5,0.582008,9,3,0.640513,11,5,0.526316,0.357143
1,1,1,10,0.627819,13,3.605551,0.793575,17,19,0.76,0.612903,18,0.594688,20,4.690416,0.522233,26,12,0.55814,0.387097,8.275257,10,0.644481,11,3.316625,0.828742,17,19,0.77551,0.633333,18,0.573821,20,4.690416,0.543557,26,12,0.571429,0.4,8.277922,11,0.623353,11,5,0.957856,19,6,0.666667,0.5,16,0.49899,14,4.690416,0.894231,28,5,0.588235,0.416667,7.008854,9,0.64565,9,4.582576,0.903572,17,17,0.894737,0.809524,17,0.700216,12,4,0.809155,26,12,0.727273,0.571429,7.380807,4,1.296104,4,2,0.816497,8,8,0.8,0.666667,4,1.28351,4,2,0.816497,8,8,0.8,0.666667,4,1.147917,4,2,0.845154,8,7,0.777778,0.636364,4,1.296104,4,2,0.816497,8,8,0.8,0.666667,0,0.59127,2,1.414214,0.666667,2,2,0.666667,0.5,4,1.147917,4,2,0.845154,8,7,0.777778,0.636364
1,1,1,13,1.974286,18,4.242641,0.700389,32,18,0.666667,0.5,15,0.727344,20,4.472136,0.655172,34,16,0.615385,0.444444,30.638161,11,1.863592,14,3.741657,0.767093,32,20,0.740741,0.588235,13,0.59629,16,4,0.724138,34,18,0.692308,0.529412,29.180716,10,1,8,2.828427,0.972645,28,8,0.8,0.666667,12,0.634119,10,3.162278,0.963915,30,7,0.736842,0.583333,21.693496,11,1.622005,14,3.741657,0.781632,32,20,0.754717,0.606061,13,0.651235,16,4,0.743484,34,18,0.705882,0.545455,29.215352,2,1.264566,3,1.732051,0.843274,7,8,0.842105,0.727273,2,1.264566,3,1.732051,0.843274,7,8,0.842105,0.727273,2,1.111699,3,1.732051,0.843274,7,8,0.842105,0.727273,2,1.264566,3,1.732051,0.843274,7,8,0.842105,0.727273,2,0.923872,3,1.732051,0.57735,3,2,0.571429,0.4,2,1.111699,3,1.732051,0.843274,7,8,0.842105,0.727273
-1,0,1,11,0.542281,17,4.123106,0.607644,21,6,0.444444,0.285714,12,0.507101,16,4,0.563436,16,4,0.363636,0.222222,8.942733,11,0.56326,15,3.872983,0.674882,21,6,0.461538,0.3,10,0.471534,14,3.741657,0.612056,18,5,0.454545,0.294118,8.762318,8,0.576664,7,3.872983,0.930861,19,6,0.857143,0.75,7,0.57265,8,3.162278,0.869964,16,5,0.769231,0.625,6.999854,11,0.602038,15,3.872983,0.729996,21,6,0.48,0.315789,11,0.832723,14,3.741657,0.706417,16,4,0.4,0.25,8.488466,4,0.8819,5,2.236068,0.566947,7,3,0.545455,0.375,4,0.8819,5,2.236068,0.566947,7,3,0.545455,0.375,4,0.774643,5,2.236068,0.566947,7,3,0.545455,0.375,4,0.8819,5,2.236068,0.566947,7,3,0.545455,0.375,1,0.481481,4,2,0,0,0,0,0,4,0.774643,5,2.236068,0.566947,7,3,0.545455,0.375
1,1,1,8,0.615685,13,3.872983,0.7711,25,14,0.736842,0.583333,11,0.605954,16,4.242641,0.694709,26,11,0.628571,0.458333,17.657552,7,0.610569,9,3,0.870515,21,15,0.810811,0.681818,10,0.605087,12,3.464102,0.807207,22,12,0.705882,0.545455,15.531933,5,0.644661,5,2.236068,0.971564,9,11,1,1,8,0.595833,8,3.162278,0.921285,10,10,0.952381,0.909091,10.635217,7,0.675362,9,3,0.912555,21,13,0.8125,0.684211,10,0.684234,10,3.162278,0.879049,22,11,0.733333,0.578947,14.75946,1,0.606703,1,1,0.912871,1,5,0.909091,0.833333,1,0.606703,1,1,0.912871,1,5,0.909091,0.833333,1,0.644444,1,1,0.912871,1,5,0.909091,0.833333,1,0.606703,1,1,0.912871,1,5,0.909091,0.833333,1,0.904902,1,1,0.816497,1,2,0.8,0.666667,1,0.644444,1,1,0.912871,1,5,0.909091,0.833333
1,1,1,9,1.078902,11,3.316625,0.603023,19,7,0.583333,0.411765,9,0.536022,14,3.741657,0.418121,18,4,0.380952,0.235294,12.578012,9,1.04261,11,3.316625,0.603023,19,7,0.583333,0.411765,9,0.489773,14,3.741657,0.418121,18,4,0.380952,0.235294,12.566449,7,0.795455,5,2.645751,0.928279,13,4,0.8,0.666667,7,0.474747,8,4,0.821204,16,4,0.8,0.666667,10.440654,9,0.937902,11,3.316625,0.603023,19,7,0.583333,0.411765,9,0.544966,14,3.741657,0.418121,18,4,0.380952,0.235294,12.580248,3,1.029716,4,2,0.666667,8,4,0.666667,0.5,3,1.029716,4,2,0.666667,8,4,0.666667,0.5,3,0.944444,4,2,0.666667,8,4,0.666667,0.5,3,1.029716,4,2,0.666667,8,4,0.666667,0.5,2,0.812308,3,1.732051,0.408248,1,1,0.4,0.25,3,0.944444,4,2,0.666667,8,4,0.666667,0.5
-1,0,1,17,0.562965,25,5.196152,0.400892,33,9,0.428571,0.272727,18,0.554112,26,5.291503,0.364013,32,8,0.390244,0.242424,45.421148,16,0.586986,23,4.795832,0.513553,31,10,0.487805,0.322581,17,0.577809,24,4.898979,0.480079,30,9,0.45,0.290323,43.348595,12,0.713781,11,4.123106,0.931974,29,7,0.823529,0.7,13,0.687619,12,4.242641,0.926302,28,6,0.75,0.6,33.103281,16,0.703501,21,4.582576,0.591083,31,10,0.512821,0.344828,17,0.706349,22,4.690416,0.542137,30,10,0.512821,0.344828,42.898275,6,0.530314,8,2.828427,0.612372,10,5,0.588235,0.416667,6,0.530314,8,2.828427,0.612372,10,5,0.588235,0.416667,6,0.608333,8,2.828427,0.612372,10,5,0.588235,0.416667,6,0.530314,8,2.828427,0.612372,10,5,0.588235,0.416667,2,0.510256,5,2.236068,0,1,0,0,0,6,0.608333,8,2.828427,0.612372,10,5,0.588235,0.416667
-1,0,1,15,0.590643,19,4.582576,0.630929,31,14,0.608696,0.4375,18,0.538404,26,5.291503,0.363636,30,7,0.368421,0.225806,8.778777,15,0.574685,19,4.582576,0.630929,31,14,0.608696,0.4375,18,0.541454,26,5.291503,0.363636,30,7,0.368421,0.225806,8.779082,13,0.63954,13,7.81025,0.897789,23,8,0.941176,0.888889,12,0.651538,14,5.830952,0.860324,24,5,0.714286,0.555556,6.361266,15,0.628678,19,4.582576,0.677067,31,14,0.651163,0.482759,17,0.62301,24,5.291503,0.418121,30,8,0.444444,0.285714,8.606279,7,0.472965,7,2.645751,0.645497,11,5,0.588235,0.416667,7,0.472965,7,2.645751,0.645497,11,5,0.588235,0.416667,7,0.499074,7,2.645751,0.645497,11,5,0.588235,0.416667,7,0.472965,7,2.645751,0.645497,11,5,0.588235,0.416667,0,0.447619,2,1.414214,0,0,0,0,0,7,0.499074,7,2.645751,0.645497,11,5,0.588235,0.416667
-1,0,1,14,0.658478,21,4.582576,0.536656,35,9,0.461538,0.3,17,0.608333,24,4.898979,0.368932,32,6,0.342857,0.206897,14.237666,14,0.668429,21,4.582576,0.536656,35,9,0.461538,0.3,17,0.653605,24,4.898979,0.368932,32,6,0.342857,0.206897,14.245212,7,0.761462,7,3.316625,0.943456,23,8,0.888889,0.8,11,0.726781,10,3.741657,0.890625,28,6,0.75,0.6,10.284844,11,0.804014,15,5.196152,0.909735,25,8,0.592593,0.421053,13,0.83254,14,3.741657,0.875793,30,6,0.48,0.315789,11.540963,2,0.593732,6,2.44949,0.5,8,3,0.5,0.333333,2,0.593732,6,2.44949,0.5,8,3,0.5,0.333333,2,0.438889,6,2.44949,0.5,8,3,0.5,0.333333,2,0.593732,6,2.44949,0.5,8,3,0.5,0.333333,0,0,0,0,1,0,1,1,1,2,0.438889,6,2.44949,0.5,8,3,0.5,0.333333
